180_siswn001_Nathalia;PoweredOff;;;4;4096;31457280;e1a;e1s10.virtual.uniandes.edu.co;VD26:storage;[VD26:storage] 180_siswn001_Nathalia/180_siswn001_Nathalia.vmdk
Asistente14-238.80-s.villaveces62-dcorreal-20131;PoweredOff;Microsoft Windows 7 (64-bit);157.253.238.80;2;3072;33554432;e1a;e1s10.virtual.uniandes.edu.co;VD25:storage;[VD25:storage] Asistente14-238.80-s.villaveces62-dcorreal-20131/Asistente14-238.80-s.villaveces62-dcorreal-20131.vmdk
(Pruebas JD) (20) Ubuntu Server 64 Bits (NO BORRAR!!!);PoweredOn;;160.42.130;4;4000;262144000;e1a;servidor1.virtual.uniandes.edu.co;VD18:s;[VD18:s] (Pruebas JD) (20) Ubuntu Ser/(Pruebas JD) (20) Ubuntu Ser.vmdk
ECOSProyecto2-template;PoweredOff;Microsoft Windows Server 2003 (64-bit);160.42.198.31;2;4096;52428800;e1a;servidor2.virtual.uniandes.edu.co;VD11:storage;[VD11:storage] ECOSProyecto2-template/ECOSProyecto2-template.vmdk
(Pruebas JD) (20) Ubuntu Server 64 Bits (NO BORRAR!!!);PoweredOn;;192.168.8.87;4;4000;262144000;e1a;servidor3.virtual.uniandes.edu.co;VD18:s;[VD18:s] (Pruebas JD) (20) Ubuntu Ser/(Pruebas JD) (20) Ubuntu Ser_1.vmdk
*_Arquesoft-k.garces-ja.huertas1845-4.10-30;PoweredOn;Microsoft Windows 7 (64-bit);192.168.8.87;2;2048;41943040;e2;servidor4.virtual.uniandes.edu.co;StoreDS12;[StoreDS12] Arquesoft-k.garces-ja.huertas1845-4.10/Arquesoft-k.garces-ja.huertas1845-4.10.vmdk
*_Backups-js.urrego-2.249-31;PoweredOn;Ubuntu Linux (64-bit);192.168.8.87;1;2048;419430400;e2;servidor5.virtual.uniandes.edu.co;StoreDS10;[StoreDS10] __Backups-js.urrego-2.249/__Backups-js.urrego-2.249.vmdk
koc-matlab-236.254-gbravo;PoweredOff;Microsoft Windows 7 (32-bit);192.168.6.197;1;4096;41943040;e1a;servidor6.virtual.uniandes.edu.co;VD12:storage;[VD12:storage] koc-matlab-236.254-gbravo/koc-matlab-236.254-gbravo.vmdk
162_UnaCloudPaaS_German Sotelo;PoweredOn;Debian GNU/Linux 6 (64-bit);160.42.16;1;1024;20971520;e1a;servidor7.virtual.uniandes.edu.co;VD10:s;[VD10:s] Comit1/162_UnaCloudPaaS_German Sotelo/162_UnaCloudPaaS_German Sotelo.vmdk
167_monitoreo_JuanDavidOsorio;PoweredOn;Microsoft Windows 7 (32-bit);192.168.8.85;2;4096;41943040;e1a;servidor8.virtual.uniandes.edu.co;VD10:s;[VD10:s] 167_monitoreo_JuanDavidOsorio/Template-Win7-32bits-40GB.vmdk
ACM-Desarrollo-87-mar-san1;PoweredOn;Ubuntu Linux (64-bit);192.168.6.19;2;4096;52428800;e1a;servidor9.virtual.uniandes.edu.co;VD13:s;[VD13:s] ACM-Desarrollo-87-mar-san1/ACM-Desarrollo-87-mar-san1.vmdk
